,Final_text,label_num
0,وسم فايبر_STC_بريال اللي يواجه مشكله العمر يتواصل معاي علي الخاص وراح يتم حل المشكله باذن الله وسم هكر وسم اختراق وسم تهكير,4
1,عندي ٥ تذاكر حفله مارشميلو للبيع ب ريال وسم موسم_جده,3
2,استغفر الله العظيم الذي لا اله الا هو الحي القيوم واتوب اليه,2
3,مو معقوله في ناس تشبه ناس كذا قاعده اقرا كلام يشبهني بشكل فضيع,0
4,مستخدم كيف اسجل في الاسكان التنموي علما بانني من مستفيدي الضمان,1
5,مستخدم السلام عليكم وافد لم تصدر له اقامه ولديه رقم حدود ورقم اقامه مءقت ومر علي دخوله المملكه اشهر ويريد الخروج نهاءي,1
6,مستخدم نعلم ان خدمه ما بعد البيع ان العميل علي حق لا اخذنا منكم لاحق ولا باطل مستخدم,0
7,مستخدم السلام عليكم كم السعر المقترح للكمامات والسوق اسعار متفاوته,1
8,اقلها كان قتلتو مو لازم يجي لعالم بشع وفوق بشاعه العالم يكون لقيط تعجب تعجب حسبي الله,0
9,مستخدم تم تاجيل دفع القسط الشهري للتاجير المنتهي بالتمليك استفهام,1
10,وسم مدارس_المستقبل_نبي_حقوقنا الله لا يسامح كل من اكل حق احد بالباطل مستخدم مستخدم مستخدم,2
11,وسم فايبر_STC_بريال كذابين يوقعك عقد يطلع مليون من عيونك,0
12,مستخدم خدمه تحديث تراخيص المنشاه لم تحدث السجل التجاري علما انه تم التحديث اكثر من مره ولم نتمكن من ارفاق السجل التجاري,0
13,مستخدم اخوي انا طلعت تصريح لكن اخطيت في الحي اقدر اعدله استفهام,1
14,تعال و انا بلقي لك عذر,2
15,مستخدم هل يعقل من تجاوز سن السبعين لايوجد له دعم سكني استفهام للاسف هذا ماحصل مع قريب لي تعجب تعجب تعجب,1
16,مستخدم هل يحق لرجل المرور ازاله التضليل واعطاء مخالفه في وقت واحد,1
17,مستخدم السلام عليكم عندي طلب في مبادره تحمل الضريبه واقف عند الاعتماد من الماليه له شهر من ٢٦ فبراير ممكن تشوفون وضعه,1
18,اللهم ان جدتي كانت باسمه الوجه جميله الخلق صابره في البلاء فاجعل مستقرها الجنه ضاحكه مستبشره يا ارحم الراحمين,2
19,في مبدا العلاقات قال الشافعي زن من وزنك بما وزنك وما وزنك به فزنه من جاء اليك ف رح اليه ومن جفاك فصد عنه,0
20,عاجل ملحم يعلن اول حاله وفاه في فلسطين جراء اصابتها بفيروس كورونا,3
21,وسم موسم_جده راح تنطرب فيه وبنفس الوقت راح تجيك معلومات ثقافيه وغير الاكل والاستمتاع بالاجواء بالبحر ومشاهده الافلام علي السينما ع البحر,0
22,تبسم عمري في لقياك يابختي فيك ويابختك,0
23,الكل يدور مصلحه فريقه حتي وان عمل في الاتحاد الرياضي علي الاتحاد اختيار اعضاءه من خارج الانديه المحترفه,0
24,قبل الدعوه للملتقي الشيء الوحيد اللي يبحثون عنه كم مشاهداتك في السناب و من هنا يبان هو حضاري او لا,0
25,مستخدم لو سمحت مقدم علي ارامكو وطالبيني برنت مخالفات لو رحت الحين موجودين ولا لازم وقت الدوام الرسمي استفهام,1
26,علي وسم رصيف الليل ل ذكري مكان تعجب هدتني الفرقي و مرهقني الحنين متي تجي استفهام تعجب محتاج اشوفك من زمان تعبت اشوفك في وجيه وسم العابرين تعجب تعجب,0
27,مستخدم السلام عليكم حاولت اشطب سجلي التجاري يقول عذرا لايمكن يتطلب الغاء التصريح وشو التصريح من اي جهه,1
28,وسم برج_لمار ب وسم جده قضيه عقاريه يا وسم وزاره_الاسكان لمذا هذا السكوت والتسويف مستخدم مستخدم,0
29,مستخدم يسعد مساكم بخصوص تطعيم الاطفال كيف الطريقه الان,1
30,مستخدم عندي سءال ابوي اتوفي من خمسه شهور تقريبا وابغا اعرف ايش هي الخطوات في التقديم علي راتب ابوي,1
31,مستخدم السلام عليكم متي يبداء قرار الاعفاء من المقابل المالي,1
32,لست حزين ولست سعيد انا في المرحله الاصعب انا لا اشعر بشيء ابدا,0
33,تغيب وياكلني عليك الخوف ولا زلت في قلبي مثل ما كنت,0
34,ان مكه حرمها الله ولم يحرمها الناس فلا يحل لامرء يءمن بالله واليوم الاخر ان يسفك بها دما ولا يعضديقطع بها شجره صحيح البخاري وسم,4
35,الكل يدعي المثاليهلا اعلم اين يعيش السيءون في هذا العالم تعجب تعجب تعجب وسم صباح_الخير,0
36,شويه وهلاقي بطاريق مول مصر جايه تقعد معايا في حداءق اكتوبر,0
37,اكيد اله قرابه بدرس طب او كاين بده يحول لطب حسبي الله بطلاب الطب بس,0
38,لم يكن يحارب الا وهو واقف كانه يلقي خطابا وكنا كلنا نندفع الي الامام كاننا ذاهبون الي عرس,0
39,من امس اقول ردو ع الخاص يعني لازم اعصب مستخدم,2
40,مستخدم سلام عليكم صباح الخير نرجوا التواصل خاص اذا امكن للضروره,2
41,مستخدم السلام عليكم مهندس سعود فين ينفذون الدرابزين الزجاج مع الكبستا الخشب في جده لو سمحت,1
42,اللي مو عايشين في الحجاز مايعرفون شعور يوم نمسك خط من اي منطقه لجده جد جد خط جده يجنن,0
43,مستخدم انا اتمني انو يدخلك فيه,0
44,وسم حساب_المواطن انا نقصو علي ٥١ خير وانا حاسبه حساب ومقسمه المبلغ اسدد ب نصه ونصه اشتري فيه انا وبنتي تكفون وش ضيقه الصدر ذي,0
45,مستخدم هل يمنع ايقاف الخدمات من استخراج رخصه قياده لاول مره,1
46,مستخدم بعد صدور توجهات وزاره الصحه بعدم تاخير التطعيمات للاطفال كيف اقدر اخذ تصريح تنقل,1
47,مستخدم تكفون سووها عندنا والله سءمنا الحياه بدون مسجد وجماعهع الاقل صلاه التراويح رابط,2
48,بحس اني مش بنت لما بستمتع بالمناظر دي رابط,0
49,عاجل ا ف ب عن جامعه جونز هوبكنز الولايات المتحده تسجل لليوم الثاني علي التوالي نحو الفي وفاه بفيروس كورونا,3
50,مستخدم انا عندي قرض عقاري مالي دعم من عندكم,0
51,صراحه وسم موسم_جده هالسنه غير من يتفق معي,1
52,هذا انا وانا شايفتهم من سنه ونص حاطين لي متوقع تخرجه,0
53,مستخدم مستخدم التخصص سجن بالسعوديه لانك ما تقدر ادرس بشهادتك الثانويه بعد خمس سنوات,0
54,مستخدم مستخدم ما اعتقد يبعد عن الرنقي,0
55,بوناصر والله ودي اجي واحظر بس م عندي فلوس وعاطل وخلها ع ربي رابط,0
56,في الحانه حدثني الساقي قاءلا يا صديقي الصادقون ياتون فرادي تعجب,0
57,اللهم توج صباح احبتي بذكرك وعافهم واعف عنهم بفضلك اللهم كن لهم حبيبا ولدعاءهم مجيبا اللهم امين صبحكم الله بالخير وسم صباح_الخير,2
58,حتي في الاجازه باجل عمل اليوم ايه الغد و مش قادره احدد ليه بعمل كده,0
59,ماتت امه بالابواء وهو ذاهب الي مكه وهو ابن ست سنين وسم نشر_سيرته وسم,3
60,اصلا لو مافي كورونا جان الحين انا هناك رابط,0
61,وسم صباح_الخير لكم و وسم صباح_الورد لي,0
62,من المءسف ان تكون احدي كذبات نيسان هو ان ما نعيشه الان حلم وليس حقيقه وسم شهر_ابريل وسم وسم فيروس_كورونا وسم وسم الاردن وسم,0
